%Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Tooting,527969,170591,51.419896651766,-0.16098809293112,"3",SW17 9JR
Tooting Bec,528015,172366,51.435838083172,-0.15968610811001,"3",SW17 9AH
Tooting Broadway,527415,171373,51.42704916499,-0.16867014599257,"3",SW17 0SU
Tottenham Court Road,529774,181354,51.51621088565,-0.13109602942553,"1",W1D 2DA
Tottenham Hale,534483,189465,51.587997785049,-0.060173390466137,"3",N17 9LR
Totteridge and Whetstone,526111,193951,51.63024674119,-0.17933981753571,"4",N20 9QP
Tower Gateway,533725,180809,51.510392650922,-0.074395469530797,"1",EC3N 1JL
Tower Hill,533566,180805,51.510394282129,-0.076686790760475,"1",EC3N 4DJ
Tufnell Park,529200,185816,51.556440814333,-0.13772775294192,"2",N19 5QB
Tulse Hill,531797,172903,51.4397974399,-0.10510812362275,"3",SE27 9BW
Turkey Street,535129,198903,51.672653666247,-0.047215472250329,"6",EN3 5TT
Turnham Green,521267,178804,51.495181971972,-0.25451016527384,"2",W4 1LR
Turnpike Lane,531524,189650,51.590358146027,-0.1027906082273,"3",N15 3NX
Twickenham,516221,173687,51.450250987135,-0.32884583782433,"5",TW1 1BD
Upminster,556167,186833,51.558763325208,0.2514152239117,"6",RM14 2TD
Upminster Bridge,555002,186681,51.557718771685,0.23455631120919,"6",RM12 6PL
Upney,545844,184260,51.538405634701,0.10154616057314,"4",IG11 9LS
Upper Holloway,529778,186630,51.563623319983,-0.12909493917319,"2",N19 4DJ
Upper Warlingham,534100,158383,51.308772263619,-0.077467317417935,"6",CR3 0EP
Upton Park,541204,183931,51.536628195871,0.034556255633226,"3",E13 9AP
Uxbridge,505698,184161,51.546454564696,-0.47708714109832,"6",UB8 1JZ
Vauxhall,530366,177978,51.485735816391,-0.12381555294752,"1,2",SW8 1SR
Victoria,528941,179131,51.496423969876,-0.14390630306143,"1",SW1E 5JX
Waddon,531151,164828,51.367379270921,-0.11737971383443,"5",CR0 4NA
Wallington,528841,163985,51.360331562347,-0.15084947457103,"5",SM6 0DZ
Waltham Cross,536520,200343,51.685257259065,-0.026549794125904,"7",EN8 7LU
Walthamstow Central,537286,188986,51.583018115291,-0.019926114372123,"3",E17 7LP
Walthamstow Queens Road,537020,188815,51.581546193899,-0.0238295131434,"3",E17 7QZ
Wandsworth Common,527719,173530,51.446365623898,-0.16352259346247,"3",SW12 8NL
Wandsworth Road,529354,176226,51.470223218762,-0.13902328072857,"2",SW8 4PA
Wandsworth Town,525985,175119,51.461034098277,-0.18789564563536,"2",SW18 1SU
Wanstead,540685,188176,51.574902145755,0.028774900468403,"4",E11 2NT
Wanstead Park,540592,185600,51.551778074703,0.026404363778733,"3",E7 0HU
Wapping,535030,180170,51.504340322706,-0.055846408737992,"2",E1W 3PA
Warren Street,529253,182272,51.524580005085,-0.13826391949985,"1",NW1 3AA
Warwick Avenue,526158,182030,51.523104457076,-0.18293888140664,"2",W9 2PT
Waterloo,531050,179933,51.503146653078,-0.11324484659974,"1",SE1 7NY
